sample	top1	top2	top3	top4	top5
Trex_cells	Komagataella	Homo	Pinus	Mus	Cyprinus
Brachy_cells	Homo	uncultured	Mus	Spirometra	Burkholderia
Brachy_Blank	Pinus	Komagataella	Homo	Cyprinus	Mus
Trex_v_sedi	Cyprinus	Homo	Mus	Komagataella	Spirometra
Brachy_v_sedi	Komagataella	Homo	Cyprinus	uncultured	Mus
Brachy_vessels	Homo	Mus	uncultured	Cyprinus	Oryzias
Brachy_c_sedi	Komagataella	Homo	Mus	Cyprinus	uncultured
Trex_ExtrBlank	Komagataella	Homo	Cyprinus	uncultured	Gossypium
BC_SRSLY	Cyprinus	Homo	Mycobacterium	Tarenaya	Mycobacterium
Trex_vessels	Homo	Mus	Bradyrhizobium	Pseudorhodoplanes	Spirometra
Trex_c_sedi	Homo	Komagataella	Alternaria	Mus	Cyprinus
